Vector,Labels
"[ 8.78361538e-02 -3.87862884e-02 -6.82456940e-02  1.35673001e-01
 -1.10019594e-01 -9.38882865e-03  5.70530398e-03 -1.35452569e-01
  5.40006161e-02  6.49210736e-02  7.25582913e-02  1.34484649e-01
  4.86873239e-02 -1.19702905e-01  2.02471271e-01  2.72054840e-02
  8.10511634e-02  9.48165730e-02 -1.16935633e-01  2.22987551e-02
 -2.58971080e-02  1.01733603e-01  3.33863236e-02  1.38708204e-01
 -8.95498842e-02  1.48405265e-02  6.03615381e-02 -9.79061574e-02
 -2.46293973e-02 -6.98747020e-03  3.22132488e-04 -2.98812926e-01
 -4.44538854e-02 -9.62641761e-02 -4.86651585e-02 -1.03609357e-03
  1.38487741e-01  4.38296981e-02 -6.44364581e-02  1.12722389e-01
 -4.76551503e-02 -6.01016469e-02  1.13320105e-01 -9.81474221e-02
 -6.30133599e-02  1.46784618e-01 -9.53943729e-02 -7.87276998e-02
  1.71373069e-01  2.05264688e-02 -8.87164660e-03 -5.04378183e-03
  9.31351185e-02 -4.59471792e-02 -3.86780947e-02 -4.98096980e-02
  4.61815186e-02 -6.31776080e-02 -6.25454113e-02  7.44799897e-02
  8.32162276e-02  2.32096612e-02 -2.48254389e-02 -7.50979409e-02
  7.30496868e-02  1.71818852e-01  2.16470547e-02 -1.09336257e-01
  1.11656658e-01 -1.23246685e-01 -2.35343701e-03  1.66306421e-01
 -3.60127017e-02 -8.51598084e-02 -2.47499929e-03 -2.36764215e-02
 -4.16858532e-02  1.12937689e-01 -3.03383656e-02 -3.56448367e-02
  1.71566278e-01 -2.52151806e-02  1.69276763e-02 -6.03455529e-02
  2.74785534e-02  4.87075513e-03  1.77992687e-01 -3.58001254e-02
 -6.90266266e-02  1.41999960e-01 -7.83870518e-02  2.82270778e-02
  1.44286896e-04 -1.43518209e-01 -1.74148649e-01  5.71995741e-03
 -6.15582727e-02 -9.88757610e-02  1.57925874e-01  4.55845706e-02
 -6.96529821e-03  8.11871663e-02  2.80627031e-02 -2.05517597e-02
  2.43021138e-02  8.08513537e-02 -5.35146333e-02 -8.14984441e-02
  4.16023247e-02  4.79091331e-02 -3.79122719e-02 -9.20859873e-02
  3.52024399e-02 -1.87817216e-03 -1.09873526e-01  7.96900839e-02
 -6.57607615e-02  1.34402603e-01 -2.15087924e-02 -1.89393923e-01
  2.95973420e-02 -1.66803941e-01 -6.41706437e-02  2.63071544e-02
 -1.36866346e-02  1.28501216e-02  8.64227414e-02  5.75245991e-02]",91
"[ 0.09022788 -0.0377214  -0.06872094  0.12473477 -0.09203424 -0.00531008
  0.00254297 -0.14064486  0.0565149   0.05347074  0.06394269  0.13426998
  0.04910211 -0.11484523  0.21635598  0.02888018  0.08934719  0.0880871
 -0.11493272  0.02410108 -0.02204767  0.12039281  0.02460881  0.14052476
 -0.09353745  0.0156112   0.05103098 -0.09891907 -0.02431937 -0.00895107
 -0.01439921 -0.28700525 -0.05425056 -0.07673569 -0.04940358  0.00834199
  0.13298023  0.03842109 -0.06132368  0.1127217  -0.05373701 -0.03634582
  0.11365747 -0.10367727 -0.06589017  0.13601659 -0.09942582 -0.07119662
  0.17092516  0.00859212 -0.00226805 -0.02459164  0.09198819 -0.03504246
 -0.05304716 -0.05298793  0.04489067 -0.06353681 -0.08009739  0.07056095
  0.0899064   0.01962771 -0.02581092 -0.08663055  0.07457617  0.1521149
  0.00315311 -0.10606179  0.10555685 -0.13663343 -0.02230942  0.16244091
 -0.03972355 -0.09772007  0.00941581 -0.02586758 -0.03675998  0.11895294
 -0.02205818 -0.05658126  0.16802248 -0.01521728  0.01239424 -0.07101497
  0.0299092   0.00432845  0.17930421 -0.03646324 -0.08032786  0.1434159
 -0.07264023  0.04694164 -0.00845517 -0.14133625 -0.19747753  0.01315149
 -0.06342516 -0.09703892  0.16858165  0.03187769  0.00030296  0.09078897
  0.03171079 -0.00488792  0.02691969  0.06550796 -0.06999831 -0.07348352
  0.05318922  0.05319319 -0.02648212 -0.0965004   0.05374189 -0.00055242
 -0.11760852  0.08229329 -0.04977269  0.13642728 -0.02283496 -0.1767857
  0.03138753 -0.15333366 -0.0667922   0.03384304 -0.01878871  0.00600657
  0.07096919  0.06705716]",82
"[ 0.0832887  -0.03319725 -0.07285815  0.1326371  -0.09875131 -0.01325257
 -0.00915985 -0.1257599   0.06609531  0.05446972  0.0702249   0.13924132
  0.05016936 -0.13611107  0.20549814  0.02146632  0.07049924  0.08901066
 -0.12683582  0.04548433 -0.01628973  0.10226005  0.03363919  0.12625566
 -0.08452602  0.01286519  0.06124285 -0.09301291 -0.03077204 -0.00534438
 -0.00302898 -0.29657638 -0.06072845 -0.09047455 -0.04841911 -0.01101142
  0.137123    0.03497855 -0.0617293   0.11901687 -0.05676457 -0.06127978
  0.09589533 -0.10147705 -0.07761037  0.13904792 -0.10381209 -0.08103924
  0.16664259  0.01623373 -0.00305999 -0.01252025  0.08674771 -0.04595475
 -0.05546205 -0.04722777  0.03609576 -0.05026157 -0.07753457  0.07094295
  0.07537564  0.03488385 -0.00899647 -0.07864085  0.07178843  0.1645581
  0.01213623 -0.10231622  0.10867811 -0.11725479  0.0006327   0.15597907
 -0.03531865 -0.09239361 -0.01192855 -0.02998391 -0.05000898  0.1133886
 -0.02272026 -0.03100982  0.18214954 -0.01779373  0.00968355 -0.06470374
  0.01435793 -0.00327571  0.18604755 -0.03256761 -0.06633774  0.12700786
 -0.08136135  0.02564696  0.00499002 -0.13209018 -0.19353436  0.00651316
 -0.05885776 -0.10107212  0.15921089  0.0359332   0.00189985  0.08446761
  0.02450815 -0.00762448  0.03014972  0.06891028 -0.0630239  -0.06960559
  0.04660207  0.07294334 -0.03584469 -0.09985483  0.02335002  0.00250132
 -0.11850209  0.09054239 -0.07429129  0.13107489 -0.03019934 -0.1991464
  0.02519841 -0.14960451 -0.07193342  0.03839574 -0.0180949   0.01103572
  0.09165072  0.06992583]",85
"[ 0.08468628 -0.03899071 -0.07319526  0.13256313 -0.09459304 -0.00125885
 -0.00057153 -0.11864741  0.07015784  0.04938319  0.05643196  0.13323458
  0.04566523 -0.1338804   0.21801594  0.02433948  0.08604077  0.08236559
 -0.12591408  0.03885202 -0.01320388  0.12566164  0.03518628  0.14667498
 -0.09404681  0.02812225  0.04453364 -0.09790169 -0.01920577 -0.0201138
 -0.00263951 -0.28961536 -0.06335854 -0.07288173 -0.04796036 -0.00755891
  0.1253612   0.04498366 -0.05196954  0.11611073 -0.0635464  -0.04571142
  0.10384846 -0.11252594 -0.05850192  0.13814846 -0.0991976  -0.07640348
  0.17839134  0.02026353 -0.00271424 -0.02052274  0.09511187 -0.03996233
 -0.05552993 -0.0504013   0.03567078 -0.06278911 -0.06484254  0.06665169
  0.0859239   0.01488179 -0.02001768 -0.07676554  0.0665714   0.1581665
  0.00483433 -0.10262379  0.10655154 -0.12755236 -0.01360254  0.14960887
 -0.03158244 -0.1026074  -0.00362496 -0.02865156 -0.03771035  0.09914198
 -0.00681023 -0.06318786  0.17145668 -0.0202213   0.01401912 -0.07313652
  0.01624251 -0.00784788  0.18216762 -0.03282207 -0.05891444  0.14446492
 -0.08539192  0.03384768 -0.00469586 -0.1429881  -0.18946552  0.0140223
 -0.07585814 -0.08751534  0.16049689  0.04457584 -0.00763837  0.09082482
  0.03414228 -0.02210118  0.02169206  0.0725552  -0.05889104 -0.07100461
  0.04457909  0.06931456 -0.01579656 -0.10130268  0.02404594  0.0153628
 -0.10676963  0.08782313 -0.04562226  0.1420885  -0.03646189 -0.19835967
  0.03574934 -0.14518611 -0.06981227  0.03484717 -0.02390675  0.00952901
  0.08121444  0.06609546]",61
"[ 8.17102194e-02 -3.89122181e-02 -6.63187876e-02  1.25260487e-01
 -1.03351176e-01 -8.15643836e-03 -5.21624926e-03 -1.25255242e-01
  7.01443255e-02  6.07789606e-02  7.52462298e-02  1.24776274e-01
  5.95596544e-02 -1.24149509e-01  2.08057001e-01  2.51671672e-02
  7.94009715e-02  9.65672582e-02 -1.28444210e-01  3.08872554e-02
 -2.16126479e-02  1.06267855e-01  3.43203917e-02  1.36435539e-01
 -8.26604366e-02  1.68410148e-02  7.90172070e-02 -8.64127204e-02
 -3.44954804e-02  9.00876429e-03 -6.10008836e-03 -2.96966434e-01
 -4.94505689e-02 -1.03088394e-01 -5.45650534e-02 -1.39257098e-02
  1.38617322e-01  3.92969400e-02 -7.04796314e-02  1.18840888e-01
 -3.94488387e-02 -7.73847476e-02  1.05290771e-01 -8.99968594e-02
 -7.84828141e-02  1.47503883e-01 -9.76326540e-02 -8.16654414e-02
  1.79445118e-01  3.71251106e-02 -5.79414656e-03  1.12276245e-02
  7.76543245e-02 -5.70443608e-02 -4.36034128e-02 -5.08444570e-02
  3.72770801e-02 -5.19274883e-02 -5.97735904e-02  7.24356174e-02
  8.08794275e-02  2.83203255e-02 -9.38185118e-03 -6.45284876e-02
  6.58636093e-02  1.70214698e-01  2.05970391e-05 -1.03784822e-01
  1.22873604e-01 -1.28226250e-01  9.77290329e-03  1.67815581e-01
 -4.46182266e-02 -9.42287147e-02 -1.17403362e-02 -2.05136649e-02
 -3.41133438e-02  1.00599974e-01 -1.42802047e-02 -1.77494157e-02
  1.74498960e-01 -1.62322782e-02  2.58702245e-02 -5.71771935e-02
  1.18869934e-02  7.56270951e-03  1.67525828e-01 -2.29409132e-02
 -6.83605373e-02  1.27332523e-01 -8.78782198e-02  2.94079706e-02
  2.18303897e-03 -1.38839960e-01 -1.79073423e-01 -1.18864300e-02
 -6.30704314e-02 -9.80990753e-02  1.50793135e-01  5.11085838e-02
 -6.42307987e-03  8.85386989e-02  3.17309722e-02 -2.15964168e-02
  2.04178989e-02  8.08688253e-02 -6.20101988e-02 -8.11875015e-02
  4.04128805e-02  7.56551549e-02 -3.88142280e-02 -9.23827440e-02
  3.85128073e-02  1.72830932e-02 -1.11449555e-01  9.40815210e-02
 -6.57232478e-02  1.22911669e-01 -2.58444622e-02 -1.96165815e-01
  2.85331216e-02 -1.59768656e-01 -6.64645806e-02  3.65627892e-02
 -1.40687060e-02  1.25569571e-02  7.64610544e-02  6.38620630e-02]",68
"[ 0.07728133 -0.03493307 -0.06241792  0.12075771 -0.09543205 -0.00849058
 -0.00987383 -0.11449979  0.08373146  0.06751939  0.07220705  0.1299615
  0.0484669  -0.12869912  0.20769022  0.02813539  0.07757369  0.08826735
 -0.12047419  0.02495473 -0.02309091  0.10374803  0.03089668  0.13507584
 -0.0970779   0.01663569  0.06589474 -0.09772997 -0.03337806  0.01239307
 -0.0168     -0.29642102 -0.04454317 -0.10504654 -0.0451264  -0.00380503
  0.13807622  0.03041186 -0.06672809  0.13105679 -0.05843006 -0.07761738
  0.11198469 -0.09464599 -0.08409574  0.14322191 -0.09563087 -0.07649056
  0.19390734  0.02219615 -0.0098263   0.0083451   0.08424115 -0.05275024
 -0.05865835 -0.05258466  0.03342342 -0.06078769 -0.07077231  0.0797906
  0.08322218  0.03263379 -0.01028074 -0.07708704  0.06419647  0.16109537
  0.00434448 -0.11566452  0.1022299  -0.10800228 -0.00823356  0.15751107
 -0.04671273 -0.10564569 -0.0127991  -0.01497836 -0.03982395  0.09121673
 -0.01443518 -0.03426056  0.17823783 -0.01888226  0.0215549  -0.06374933
  0.01719628 -0.00666963  0.15622053 -0.02227951 -0.06532041  0.12560469
 -0.09012534  0.03573008  0.00045968 -0.15470737 -0.18655236 -0.00056094
 -0.08247516 -0.0929212   0.15692149  0.04203685 -0.00585028  0.08782208
  0.02016299 -0.01051654  0.02595925  0.07563461 -0.06187635 -0.07815065
  0.04016959  0.07089453 -0.02675031 -0.09611693  0.02708703  0.01098127
 -0.1102907   0.08580229 -0.06329313  0.13316657 -0.03105353 -0.19067782
  0.03384769 -0.15201259 -0.06663685  0.02996646 -0.01048001  0.02049552
  0.08426784  0.05442109]",70
"[ 7.64522702e-02 -3.47808599e-02 -6.65770322e-02  1.24916755e-01
 -1.02850340e-01 -2.05615275e-02  5.84723639e-05 -1.19998746e-01
  7.05710351e-02  6.82339743e-02  7.53434747e-02  1.34233698e-01
  5.40713407e-02 -1.26854703e-01  2.05472305e-01  2.67906655e-02
  7.24020153e-02  9.51140523e-02 -1.16587885e-01  2.34884284e-02
 -2.31861584e-02  9.51451659e-02  3.30630504e-02  1.33726865e-01
 -8.87593627e-02  1.07860109e-02  7.31084421e-02 -9.61672664e-02
 -4.76054884e-02  9.29424632e-03 -6.55797170e-03 -3.00790727e-01
 -4.45929207e-02 -1.07829630e-01 -4.56776097e-02 -4.52032965e-03
  1.36057585e-01  2.99566351e-02 -7.41074234e-02  1.16567135e-01
 -4.38719690e-02 -8.10827613e-02  1.11067280e-01 -9.49398950e-02
 -8.25726315e-02  1.40984416e-01 -9.80426371e-02 -7.73873851e-02
  1.77353457e-01  1.72474682e-02 -1.37843974e-02  1.29549401e-02
  7.64411390e-02 -5.63136004e-02 -4.44686338e-02 -5.03184199e-02
  3.17003354e-02 -6.19405769e-02 -7.30701238e-02  8.09883699e-02
  7.71149620e-02  3.00897919e-02 -8.55941419e-03 -7.66853094e-02
  6.66781142e-02  1.69107497e-01  1.91519670e-02 -1.14215329e-01
  1.10662647e-01 -1.13041170e-01  5.84677747e-03  1.58807531e-01
 -4.91152667e-02 -9.18921009e-02 -1.15620596e-02 -2.28176434e-02
 -4.31157053e-02  1.03582270e-01 -2.71572229e-02 -2.04930175e-02
  1.81807369e-01 -2.17043720e-02  2.37253569e-02 -4.90069762e-02
  2.55356710e-02 -2.07668520e-03  1.61356375e-01 -3.26049402e-02
 -6.44656345e-02  1.27440751e-01 -9.00309309e-02  2.81251613e-02
  3.49564914e-04 -1.41468227e-01 -1.82813019e-01 -5.14315814e-03
 -7.31899291e-02 -1.00448407e-01  1.53192505e-01  4.05044109e-02
 -9.63336881e-03  8.14935267e-02  2.43177917e-02 -1.15199750e-02
  3.79773378e-02  7.22269788e-02 -4.99220490e-02 -8.25980008e-02
  4.57073115e-02  5.91018386e-02 -4.27851267e-02 -7.98041150e-02
  3.41709405e-02  7.20530190e-03 -1.13326974e-01  8.38752165e-02
 -7.42303729e-02  1.32308051e-01 -2.79560369e-02 -2.01835349e-01
  2.90046558e-02 -1.66509196e-01 -6.76529035e-02  3.60874496e-02
 -1.16967857e-02  2.04737969e-02  9.02612135e-02  5.18860146e-02]",97
"[ 0.07786304 -0.03733809 -0.0587116   0.1374429  -0.08907353  0.00670557
 -0.01282877 -0.12619762  0.0732618   0.06570233  0.06701817  0.12932482
  0.05744063 -0.12257867  0.20577613  0.03178208  0.07950479  0.09660106
 -0.12255784  0.03162826 -0.02063489  0.10411199  0.02237233  0.14192832
 -0.07763723  0.02424208  0.0819201  -0.09160538 -0.04015806  0.00142904
 -0.01157926 -0.29636705 -0.0423218  -0.10896675 -0.05535796 -0.00643392
  0.13466008  0.02586943 -0.07969896  0.1211876  -0.03372671 -0.06659649
  0.10748315 -0.09616465 -0.09058913  0.14498939 -0.09636841 -0.06915252
  0.18446358  0.02969754 -0.00808358 -0.00431206  0.08754385 -0.05823909
 -0.04931575 -0.03750972  0.03595626 -0.05553988 -0.06539965  0.06723851
  0.0775493   0.02563777 -0.00381467 -0.06745604  0.06325192  0.17520097
  0.01073513 -0.09913565  0.12113439 -0.12238499  0.00588144  0.16432251
 -0.0448117  -0.08789808 -0.0038344  -0.0182613  -0.04388789  0.0941785
 -0.01193756 -0.02581599  0.17552468 -0.00942971  0.01680999 -0.07176793
  0.01148961  0.00721297  0.14949752 -0.0132275  -0.06835401  0.12164544
 -0.09961722  0.02504274 -0.0053833  -0.14098457 -0.17981794 -0.00657386
 -0.0746194  -0.09690822  0.16199982  0.0390486  -0.01246195  0.09388153
  0.03120315 -0.00779271  0.01918192  0.07972787 -0.07470612 -0.08532849
  0.04370769  0.08120361 -0.03507661 -0.09226059  0.04113021  0.02709454
 -0.11367694  0.08731105 -0.07631489  0.13197182 -0.03880346 -0.19020645
  0.03429927 -0.15043823 -0.06455681  0.03667976 -0.00325237  0.01899906
  0.08196474  0.05351208]",74
"[ 8.48575011e-02 -3.50547656e-02 -6.59767762e-02  1.10862233e-01
 -9.23707783e-02 -1.56203909e-02  3.04277241e-03 -1.19465142e-01
  6.27319887e-02  5.29453382e-02  7.30329528e-02  1.34311974e-01
  5.06470799e-02 -1.24598287e-01  2.14951605e-01  1.63552910e-02
  6.84920326e-02  8.63255188e-02 -1.12483941e-01  4.59797978e-02
 -2.29126662e-02  1.15558118e-01  2.82457862e-02  1.46964565e-01
 -1.02471814e-01  1.94692872e-02  4.16541882e-02 -1.07024878e-01
 -1.50183588e-02 -7.72482064e-03 -1.18568484e-02 -2.86701381e-01
 -6.29001781e-02 -6.69244379e-02 -4.88963015e-02 -3.04799993e-04
  1.28222153e-01  3.05573475e-02 -5.63880317e-02  1.26929194e-01
 -6.69468418e-02 -4.79354262e-02  1.10495187e-01 -1.03762604e-01
 -6.71725348e-02  1.40157521e-01 -1.09735303e-01 -7.23599121e-02
  1.78329080e-01  7.85582606e-03 -8.31060857e-03 -1.34147555e-02
  9.39779729e-02 -2.61228345e-02 -5.95674627e-02 -5.77046722e-02
  3.87505181e-02 -5.75140044e-02 -7.88386539e-02  7.41271749e-02
  9.58719328e-02  2.78911963e-02 -1.96886603e-02 -8.64878893e-02
  6.57716319e-02  1.55337051e-01  7.44530626e-05 -1.06378734e-01
  1.04070373e-01 -1.21384181e-01 -2.44065877e-02  1.48640886e-01
 -3.54752243e-02 -9.67420191e-02  5.21188276e-03 -2.22102106e-02
 -3.90566699e-02  1.07016586e-01 -1.80727318e-02 -5.96027486e-02
  1.69319257e-01 -1.60084106e-02  1.26762465e-02 -7.17352182e-02
  2.76783220e-02 -7.86981266e-03  1.88217908e-01 -4.12059724e-02
 -7.73057267e-02  1.44659117e-01 -7.31162131e-02  3.71788256e-02
  2.36169479e-04 -1.48476779e-01 -1.94192633e-01  1.23910932e-02
 -6.87546805e-02 -9.53842029e-02  1.63717449e-01  2.18000431e-02
  7.14133121e-03  8.75892341e-02  2.86091361e-02 -1.16618499e-02
  3.63059938e-02  7.03806654e-02 -4.94028106e-02 -7.04767555e-02
  4.86450791e-02  6.48203716e-02 -2.10365113e-02 -9.86889675e-02
  4.46921736e-02 -9.58168355e-04 -1.19754478e-01  6.97982609e-02
 -5.81375584e-02  1.43103793e-01 -1.87993515e-02 -1.86693594e-01
  3.38583887e-02 -1.50583535e-01 -6.73177019e-02  4.18321192e-02
 -1.13812033e-02 -1.38587884e-05  8.99581090e-02  7.22230151e-02]",68
"[ 0.07648887 -0.03773738 -0.06921514  0.12018114 -0.09919924 -0.014199
  0.00153024 -0.12093475  0.05478008  0.06583832  0.07190602  0.13577053
  0.04892897 -0.11662688  0.21004727  0.02634779  0.0754531   0.09164315
 -0.11430184  0.01872264 -0.02379271  0.10859647  0.02463015  0.14485697
 -0.09103923  0.01905748  0.06430706 -0.09732332 -0.0359782   0.00635846
 -0.00306204 -0.2944917  -0.05389431 -0.09056063 -0.04776011 -0.00311804
  0.13497949  0.03115491 -0.06293657  0.11810855 -0.05113712 -0.0688805
  0.12145132 -0.0962785  -0.07084759  0.13908954 -0.09487414 -0.07595369
  0.17701697  0.01668261 -0.01663535 -0.00273587  0.08575758 -0.05427069
 -0.03609319 -0.04916267  0.04042866 -0.05917073 -0.07774201  0.07429828
  0.08359594  0.02252761 -0.01921846 -0.07805719  0.0655384   0.16498624
  0.0167859  -0.11577944  0.11318488 -0.12426333 -0.00662634  0.16625921
 -0.04634786 -0.08988065 -0.00501058 -0.02327005 -0.0363423   0.10922514
 -0.02649361 -0.03394752  0.17792603 -0.0227461   0.02786482 -0.05686829
  0.02779425 -0.00065072  0.16822323 -0.03096139 -0.06989628  0.13766305
 -0.08247735  0.04219117 -0.00072586 -0.14555599 -0.18427305  0.00419864
 -0.06686064 -0.09626241  0.16021913  0.05097841 -0.00498136  0.08346708
  0.02541308 -0.02174032  0.03329179  0.07961965 -0.04326271 -0.08521739
  0.04681067  0.06185282 -0.03522494 -0.08385554  0.04830369  0.00545064
 -0.10407154  0.08041315 -0.06515343  0.13772202 -0.0163022  -0.19099039
  0.03134555 -0.16989836 -0.05764796  0.03873027 -0.01405637  0.01714183
  0.08863275  0.05695648]",73
