Vector,Labels
"[-0.0794164  -0.01684902  0.00372212  0.04824672 -0.1911522   0.03942011
 -0.08086527  0.04288404 -0.12069897  0.05081944 -0.05360855  0.11408055
 -0.13238886  0.01847227 -0.02403186  0.02740403 -0.03777559 -0.00634843
  0.14897959  0.12864926 -0.07052322 -0.12846875  0.00813984 -0.00648405
  0.03423995  0.00615078 -0.02550461  0.06658808 -0.17855231  0.05321899
  0.01351282 -0.05388228 -0.15911907 -0.16390808 -0.10461574  0.00752389
 -0.03888692  0.14957233  0.0190776   0.00325616  0.07503837 -0.09301247
 -0.05581145  0.09802232 -0.0203554  -0.05092043 -0.11304835 -0.09813172
  0.01558527  0.13941258 -0.03360775 -0.07154725  0.03691629  0.00489282
 -0.1111703   0.05590884  0.02431628 -0.08448885  0.07083403 -0.004396
 -0.19984193 -0.06099427 -0.00849366  0.00339516  0.07904376 -0.03074394
 -0.12157387  0.12100141  0.08036963 -0.02803831 -0.10329243  0.00757035
  0.10707998 -0.00155212 -0.04012639  0.1223553   0.06461544 -0.01220793
 -0.02474598  0.10777809  0.0321863  -0.15505333 -0.00326151  0.02849559
 -0.04767691 -0.00747478  0.0955392   0.04544046 -0.09181955  0.00682291
  0.0390665   0.04545484 -0.07185143  0.18738338 -0.13671929  0.04662564
  0.04696907 -0.08521694 -0.0849174  -0.11549893  0.20520632 -0.02480174
 -0.00115694 -0.06949625  0.11001409  0.06654503 -0.3223905   0.00693983
 -0.03325624  0.09226777 -0.05128636 -0.02201314  0.09873507 -0.03315809
  0.2725494   0.0439087   0.07414033 -0.00543049 -0.10073515 -0.03891782
  0.09777667 -0.02308174 -0.06096354 -0.05887858 -0.0315182  -0.03260527
  0.01784374  0.0273988 ]",60
"[-0.08545446 -0.00273457 -0.00282006  0.04441156 -0.19457598  0.03402802
 -0.10068815  0.0407735  -0.11035663  0.05154179 -0.0459222   0.12534231
 -0.12291897  0.02951777 -0.03520903  0.01423217 -0.03297453  0.00786289
  0.1521753   0.12465874 -0.06578867 -0.127222   -0.00426587  0.01062436
  0.05467855  0.01232881 -0.02743997  0.06137595 -0.16104075  0.0574468
  0.03029693 -0.04303106 -0.17126964 -0.15498763 -0.09964431 -0.0096197
 -0.03073247  0.15991887  0.02532074  0.00538433  0.06466986 -0.10826217
 -0.04643442  0.09530012 -0.03002032 -0.05296828 -0.10333019 -0.0979878
  0.00935758  0.12013844 -0.03685167 -0.07295287  0.03361091 -0.00267488
 -0.1145736   0.03705925  0.03396023 -0.08932904  0.08403647  0.00043529
 -0.19789076 -0.05465815 -0.0094017   0.00311468  0.06807018 -0.0360912
 -0.12582943  0.11735747  0.07625543 -0.02015985 -0.08439169  0.00974542
  0.11510576  0.00894668 -0.04022977  0.12205055  0.04967529 -0.01148348
 -0.02845491  0.10476501  0.05637043 -0.15537807  0.00824931  0.02378429
 -0.03851748 -0.0027327   0.09461321  0.06051604 -0.08839245  0.00620381
  0.04514012  0.03776036 -0.06748974  0.18786469 -0.1320083   0.05120489
  0.07210677 -0.08779664 -0.08409456 -0.09600098  0.21137868 -0.01875588
  0.0118882  -0.07594795  0.11353186  0.07571887 -0.31277058  0.02133389
 -0.036704    0.08977084 -0.03052025 -0.03093832  0.10200414 -0.0256902
  0.28758717  0.05755252  0.08579864 -0.01200448 -0.09514746 -0.04279585
  0.1024751  -0.03060541 -0.06784534 -0.06730539 -0.02701889 -0.02426102
  0.01170923  0.01925993]",62
"[-8.63630623e-02 -3.05871703e-02 -2.37626266e-02  7.16048479e-02
 -1.92599311e-01  4.31034938e-02 -7.84739405e-02  5.86113036e-02
 -1.34938627e-01  2.39371415e-02 -4.28173840e-02  1.20071515e-01
 -1.38374925e-01 -2.06066339e-04 -3.01684290e-02  1.45912049e-02
 -2.99187303e-02 -6.00095489e-04  1.71928525e-01  1.34037450e-01
 -7.28965104e-02 -1.14720777e-01  3.06145102e-02  1.83280446e-02
  5.62380776e-02  1.41276221e-03 -4.67539728e-02  4.83995825e-02
 -1.74159989e-01  5.99521287e-02  8.62885173e-03 -5.01904301e-02
 -1.63349777e-01 -1.62648037e-01 -9.69568640e-02  1.31317805e-02
 -5.93331419e-02  1.31368488e-01  7.42455060e-03  2.55440874e-03
  5.60130514e-02 -1.06627442e-01 -4.92880568e-02  1.13294370e-01
 -4.72631790e-02 -5.26783578e-02 -1.09064542e-01 -7.82576650e-02
 -1.53726153e-03  1.42265022e-01 -2.06044056e-02 -6.81299791e-02
  2.78661679e-02  6.12440053e-03 -1.01852030e-01  5.11930287e-02
  5.14134802e-02 -6.73781782e-02  6.18424863e-02 -1.57984793e-02
 -2.10380703e-01 -5.13117649e-02 -1.54307941e-02  2.01912541e-02
  7.02388808e-02 -1.05229272e-02 -1.30230889e-01  1.20270781e-01
  6.94903731e-02 -3.70869674e-02 -8.29579309e-02 -7.51078245e-04
  1.19800508e-01 -2.92048324e-03 -5.03284931e-02  1.16751388e-01
  5.60909435e-02  2.30316557e-02 -3.00774500e-02  1.02177501e-01
  4.06844877e-02 -1.47110716e-01  2.08731610e-02  2.30890140e-02
 -5.35835735e-02  3.19807185e-03  9.60622951e-02  6.63716719e-02
 -9.46293175e-02  2.21106093e-02  4.62904014e-02  4.34893630e-02
 -6.89889491e-02  1.79574013e-01 -1.51064619e-01  5.65946847e-02
  5.14890812e-02 -9.04507637e-02 -6.89998046e-02 -9.95168462e-02
  1.93157151e-01 -6.17418671e-03  2.56173807e-04 -6.67653605e-02
  1.21103436e-01  6.60707951e-02 -3.12380195e-01  2.46805437e-02
 -2.96278112e-02  1.05876207e-01 -4.20420282e-02 -3.93896475e-02
  9.83364359e-02 -2.22616494e-02  2.68049836e-01  5.92678599e-02
  8.47490206e-02 -9.67604108e-03 -9.01180059e-02 -3.91525775e-02
  9.60850790e-02 -2.59833876e-02 -7.44611695e-02 -5.54926172e-02
 -3.78528703e-03 -2.92914603e-02  2.01047193e-02  2.88594067e-02]",4
"[-0.080652   -0.02692313 -0.01683889  0.06588439 -0.18964031  0.03950675
 -0.08031029  0.05549248 -0.12889077  0.03089131 -0.04804821  0.1124431
 -0.13986513  0.00435088 -0.02142324  0.01648057 -0.03114922 -0.00823534
  0.16588806  0.13707438 -0.07467975 -0.12708256  0.02849083  0.00195204
  0.04582191  0.00372397 -0.04716554  0.05169899 -0.16858168  0.05346236
  0.00803701 -0.05261726 -0.15916412 -0.16674809 -0.0973262   0.01045796
 -0.0479473   0.13395484  0.00300289  0.00681295  0.0624019  -0.09968169
 -0.05000299  0.1116186  -0.03594739 -0.05450709 -0.11724637 -0.08789519
 -0.00200273  0.14139241 -0.02267456 -0.06799497  0.02745007  0.00462111
 -0.1034117   0.05497293  0.04218551 -0.07655183  0.06308963 -0.0099036
 -0.20993106 -0.06087042 -0.01037285  0.02128977  0.07213009 -0.01975786
 -0.12853096  0.11918209  0.0807552  -0.03420075 -0.08423977  0.00367415
  0.11843212  0.00137925 -0.04748492  0.11838512  0.06459588  0.00596359
 -0.02916925  0.10258355  0.03670884 -0.14982025  0.00854659  0.02799985
 -0.05534896 -0.00076602  0.09579021  0.0617241  -0.0922754   0.01517498
  0.0502845   0.04779287 -0.07071103  0.17754352 -0.14338993  0.05734917
  0.04741153 -0.09209596 -0.07327845 -0.10867337  0.19560492 -0.00928598
 -0.0031685  -0.06700287  0.12065893  0.07154136 -0.31635687  0.02081693
 -0.02797177  0.10227294 -0.04767874 -0.0302817   0.1010649  -0.03009149
  0.26857316  0.05398544  0.08339986 -0.01134473 -0.09681801 -0.03103175
  0.09230245 -0.02670913 -0.06774879 -0.05556099 -0.01593329 -0.03339286
  0.01690771  0.02946365]",4
"[-0.0825577  -0.02680685 -0.0074743   0.06454848 -0.19309905  0.03498132
 -0.07996611  0.05193475 -0.12842266  0.03661425 -0.04803431  0.12227863
 -0.12883797  0.01270239 -0.03765785  0.02393324 -0.03149739  0.00048737
  0.16745284  0.13288844 -0.07914057 -0.12411571  0.02363654  0.02032107
  0.04903287 -0.00453553 -0.03376908  0.05613901 -0.17900579  0.05468256
  0.00596024 -0.04678581 -0.16345374 -0.16271667 -0.10371255  0.01566879
 -0.05032533  0.1477511   0.0181378  -0.00260181  0.06587234 -0.10534644
 -0.0601652   0.1008037  -0.03590066 -0.04761567 -0.1060715  -0.09087604
  0.00800879  0.13625361 -0.02500046 -0.06727574  0.03225016  0.01293753
 -0.10950985  0.04423843  0.03965623 -0.06631234  0.07159904 -0.01504715
 -0.20551817 -0.05292724 -0.0114011   0.01260119  0.07743875 -0.01736812
 -0.11933769  0.12354355  0.06878822 -0.0343379  -0.0895881  -0.00234106
  0.11897278  0.00496809 -0.05215005  0.10993041  0.05484059  0.00519859
 -0.02857464  0.10392515  0.03700086 -0.1557696   0.01106202  0.01814443
 -0.04257795  0.00133624  0.09712759  0.05405497 -0.0997889   0.02411283
  0.0441056   0.04404689 -0.07450826  0.18312532 -0.13993992  0.05261559
  0.05020611 -0.08584677 -0.08032061 -0.10563892  0.19908658 -0.01155548
  0.0060353  -0.06689663  0.11618812  0.05877544 -0.31360132  0.01890095
 -0.0403051   0.10299473 -0.04428278 -0.03433836  0.09405322 -0.02506649
  0.2713311   0.05739145  0.07490941 -0.00156478 -0.09414432 -0.04878722
  0.10071208 -0.02788712 -0.07656229 -0.05224314 -0.0104494  -0.02807303
  0.0153848   0.02287078]",60
"[-7.99003765e-02 -3.10775824e-02 -1.14599168e-02  6.62496760e-02
 -1.89981341e-01  3.88082340e-02 -7.47198686e-02  5.54199666e-02
 -1.31876141e-01  3.29291336e-02 -4.97708321e-02  1.14198416e-01
 -1.38290361e-01  5.24283061e-03 -2.51677614e-02  2.36078799e-02
 -3.30007561e-02 -7.74698053e-03  1.65760532e-01  1.36382565e-01
 -7.76567459e-02 -1.26533270e-01  2.92341840e-02  5.46298036e-03
  4.21320722e-02 -1.88580062e-03 -4.07365598e-02  5.41057773e-02
 -1.78373098e-01  5.32224663e-02  2.91459076e-03 -5.37609793e-02
 -1.57235667e-01 -1.67239621e-01 -1.01274036e-01  1.76405217e-02
 -5.21709993e-02  1.36399388e-01  7.48848170e-03  1.83445134e-03
  6.62539601e-02 -9.78570879e-02 -5.67039177e-02  1.08229853e-01
 -3.37719657e-02 -5.17488569e-02 -1.15387335e-01 -8.83793384e-02
  4.95450804e-03  1.44236773e-01 -2.23254953e-02 -6.74459860e-02
  3.07565834e-02  1.07765710e-02 -1.04799509e-01  5.59880622e-02
  3.89056168e-02 -7.10658357e-02  6.29129261e-02 -1.40870484e-02
 -2.08241880e-01 -5.83098419e-02 -1.10172238e-02  1.87372733e-02
  7.66229630e-02 -1.74127705e-02 -1.23272859e-01  1.21979438e-01
  7.68003240e-02 -3.65097523e-02 -9.21189785e-02  1.86326128e-04
  1.16180554e-01  5.08651370e-04 -4.86064255e-02  1.14768304e-01
  6.43283725e-02  5.87694999e-03 -2.79760938e-02  1.04208104e-01
  3.05103511e-02 -1.51553422e-01  6.36714138e-03  2.52701137e-02
 -5.25748432e-02 -5.48164709e-04  9.61552486e-02  5.38494140e-02
 -9.60793942e-02  1.95992999e-02  4.57394980e-02  4.86947708e-02
 -7.30044320e-02  1.79383829e-01 -1.43706471e-01  5.37560917e-02
  4.19646464e-02 -8.85522291e-02 -7.62622431e-02 -1.13287866e-01
  1.94775611e-01 -1.18614342e-02 -2.43549398e-03 -6.48659915e-02
  1.17326453e-01  6.38125017e-02 -3.17501783e-01  1.58872325e-02
 -3.22405286e-02  1.03298731e-01 -5.17165288e-02 -3.02503314e-02
  9.75294635e-02 -3.00772805e-02  2.65067607e-01  5.15947677e-02
  7.70466626e-02 -5.62807778e-03 -9.66149494e-02 -3.77938636e-02
  9.52446610e-02 -2.46817283e-02 -6.99132010e-02 -5.15908971e-02
 -1.57927033e-02 -3.27533334e-02  1.85901057e-02  2.89240349e-02]",61
"[-0.08869433 -0.02802384 -0.02998539  0.07050608 -0.1925755   0.05019799
 -0.07898267  0.05780471 -0.13540825  0.02102568 -0.04096432  0.1167163
 -0.14304596 -0.00622648 -0.02347765  0.00851841 -0.03001903 -0.00246974
  0.16862307  0.13203663 -0.06567138 -0.10754208  0.02934834  0.01089815
  0.057315    0.00960964 -0.05145622  0.04851656 -0.16980335  0.06323375
  0.01368823 -0.05224897 -0.16401325 -0.16182952 -0.09311946  0.00735426
 -0.05997971  0.12386144  0.00344551  0.00774926  0.05257299 -0.10522114
 -0.04087055  0.11853934 -0.0499349  -0.05516773 -0.1104764  -0.0732553
 -0.00637645  0.14597304 -0.02198087 -0.07002219  0.02625069 -0.00210974
 -0.09842289  0.05659173  0.05405979 -0.07290901  0.05694638 -0.01176132
 -0.21138392 -0.05269282 -0.01686299  0.01878523  0.06689673 -0.00990253
 -0.13817756  0.11735529  0.07158174 -0.03607133 -0.08178903  0.00379734
  0.1170439  -0.01091037 -0.04683716  0.1250708   0.0580051   0.02935266
 -0.02977243  0.10178225  0.04295247 -0.14251474  0.02459696  0.02814255
 -0.06044659  0.0009134   0.09559057  0.07306675 -0.08939899  0.01491144
  0.04569495  0.04147971 -0.06504185  0.18015158 -0.15634058  0.0573424
  0.05315345 -0.09294181 -0.06368387 -0.09525959  0.19297658 -0.00709984
 -0.00485669 -0.06863577  0.12267856  0.07227625 -0.31373146  0.02561294
 -0.02145925  0.10383522 -0.04106876 -0.03879641  0.10149213 -0.02139789
  0.26838085  0.05744992  0.09028691 -0.01546288 -0.08954719 -0.03127857
  0.09210172 -0.02433164 -0.06857984 -0.06088165 -0.003317   -0.03146841
  0.02269398  0.03318402]",58
"[-0.08374667 -0.02291016 -0.01427759  0.06246229 -0.19180799  0.02639379
 -0.09180217  0.06012735 -0.12471687  0.03526689 -0.0423173   0.13127753
 -0.13014963  0.02290558 -0.03926658  0.01982881 -0.03172781  0.01060156
  0.17151423  0.13475972 -0.07799485 -0.13487117  0.01478877  0.02817621
  0.0623413  -0.00586438 -0.03692998  0.04344898 -0.17074756  0.05683878
  0.01612329 -0.04750713 -0.1643288  -0.15887506 -0.09941614  0.00909258
 -0.05081926  0.14796089  0.01446805 -0.00313299  0.05732092 -0.11161525
 -0.05419987  0.10480248 -0.04276015 -0.05691316 -0.10799342 -0.08728062
  0.01080079  0.12273609 -0.02115357 -0.0683217   0.03192667  0.0146806
 -0.10899554  0.03841883  0.04759898 -0.07297583  0.07746158 -0.01755521
 -0.2034159  -0.04571483 -0.01361616  0.02708437  0.0645577  -0.02429717
 -0.11925016  0.12093583  0.07232425 -0.03090434 -0.0801104  -0.00367993
  0.12336544  0.01981536 -0.0453654   0.10735369  0.04878015  0.00326854
 -0.03194108  0.10381375  0.05175922 -0.15099645  0.01185912  0.01860053
 -0.04012099  0.00958716  0.09259991  0.05772625 -0.09498651  0.0276595
  0.04985757  0.04665776 -0.06893542  0.17680842 -0.13854325  0.05479667
  0.06424672 -0.08764515 -0.07871932 -0.10453888  0.19651753 -0.00592718
  0.01577454 -0.0668372   0.11579362  0.06867874 -0.3065768   0.02609215
 -0.04170347  0.1028392  -0.03331734 -0.04287997  0.1005683  -0.02533968
  0.27451044  0.06391806  0.08590234 -0.00844216 -0.08852462 -0.04926245
  0.10730087 -0.02928885 -0.08250337 -0.05294266 -0.02006376 -0.01921354
  0.01563602  0.01859118]",64
"[-0.07814349 -0.02297755 -0.00645565  0.05970147 -0.18953484  0.04508336
 -0.07538678  0.04445848 -0.12519303  0.03891541 -0.05417125  0.10318916
 -0.13726214  0.00224304 -0.01670853  0.01932736 -0.0322989  -0.01708679
  0.15538134  0.13363826 -0.07259826 -0.12272678  0.02709854 -0.01264486
  0.03176585  0.00932813 -0.0413936   0.0650815  -0.17021948  0.05017463
  0.00530912 -0.05226814 -0.15809685 -0.16877924 -0.10033048  0.00935389
 -0.03912992  0.1377773   0.00727497  0.00995901  0.07192352 -0.09195658
 -0.05235775  0.10540694 -0.02415328 -0.04846337 -0.11719068 -0.09572729
 -0.00236937  0.14818744 -0.02973539 -0.0684813   0.02869904 -0.00053486
 -0.10560563  0.05965289  0.02999401 -0.07958417  0.06162915 -0.00231955
 -0.2083058  -0.06980845 -0.00647722  0.00654864  0.08137154 -0.0219783
 -0.12851837  0.1193876   0.08290384 -0.03246712 -0.0928615   0.00905854
  0.1120842  -0.00877414 -0.04845469  0.12369875  0.07104389 -0.00287251
 -0.02564156  0.10320559  0.02703719 -0.1541983   0.00224412  0.03054858
 -0.0564541  -0.01007762  0.09840056  0.05691457 -0.09250526  0.0054845
  0.04588258  0.04550744 -0.07399086  0.18323532 -0.13963     0.0543156
  0.03911564 -0.09069175 -0.07738581 -0.11095045  0.20111729 -0.01774515
 -0.01081863 -0.06896678  0.11886367  0.06834543 -0.32274112  0.01286357
 -0.02572486  0.09724462 -0.05569977 -0.01901216  0.09798326 -0.03276021
  0.26890764  0.0458337   0.07546785 -0.00811252 -0.10365824 -0.02724585
  0.0863906  -0.02577518 -0.05805152 -0.05831182 -0.01717127 -0.04083282
  0.015198    0.03224292]",62
"[-0.08179471 -0.03319126 -0.03375948  0.07854544 -0.1871803   0.05168296
 -0.07272532  0.05732334 -0.13540773  0.01386198 -0.04574255  0.09942086
 -0.14754626 -0.01907189 -0.0106022   0.00359061 -0.02517047 -0.01927438
  0.17062376  0.13918723 -0.07072519 -0.11133705  0.04854181 -0.00603548
  0.04572929  0.01197766 -0.06677093  0.04897387 -0.15801504  0.05400496
  0.00237038 -0.05200082 -0.15792035 -0.16929413 -0.08941442  0.00981732
 -0.05225514  0.11363107 -0.01145668  0.01621182  0.05473647 -0.09803077
 -0.04008579  0.12314087 -0.04453649 -0.05281107 -0.11993993 -0.07809798
 -0.02384807  0.15355927 -0.01857733 -0.06563387  0.01775053 -0.00623643
 -0.09358957  0.06242421  0.05207357 -0.07194673  0.04823893 -0.00677958
 -0.21823356 -0.06811516 -0.01072736  0.02329867  0.07150944 -0.00693993
 -0.14097501  0.11497334  0.08128031 -0.03915729 -0.07244979  0.00707845
  0.12075797 -0.01383555 -0.05406231  0.12454132  0.07056428  0.02543683
 -0.02976011  0.09679341  0.03260551 -0.1435274   0.02001197  0.03249439
 -0.06921609 -0.00416434  0.09781522  0.07876733 -0.08931169  0.01052458
  0.05513854  0.04523345 -0.06920174  0.1727905  -0.15185022  0.06507389
  0.03990547 -0.09837187 -0.05965253 -0.09839485  0.18857725 -0.00184742
 -0.01670128 -0.06685808  0.13013265  0.07540291 -0.3146822   0.02794342
 -0.01414042  0.10647482 -0.05068168 -0.02877222  0.1009218  -0.02692808
  0.26196295  0.05510355  0.08809541 -0.01752961 -0.09700581 -0.01494802
  0.0776636  -0.02746045 -0.06153028 -0.05799312  0.00283562 -0.04255134
  0.01725407  0.03778134]",6
